company_id,previous_year,previous_pattern,current_year,current_pattern
ABB,2012,Reinvestor,2014,Mixed
ABB,2014,Mixed,2015,Growth Funded by Debt
ABB,2015,Growth Funded by Debt,2016,Shareholder Returns
ABB,2017,Shareholder Returns,2018,Mixed
ABB,2020,Mixed,2021,Shareholder Returns
ABB,2022,Shareholder Returns,2023,Mixed
ABB,2023,Mixed,2024,Shareholder Returns
ADANIENSOL,2014,Mixed,2015,Growth Funded by Debt
ADANIENSOL,2015,Growth Funded by Debt,2016,Shareholder Returns
ADANIENSOL,2017,Shareholder Returns,2018,Mixed
ADANIENSOL,2020,Mixed,2021,Shareholder Returns
ADANIENSOL,2022,Shareholder Returns,2023,Mixed
ADANIENSOL,2023,Mixed,2024,Shareholder Returns
ADANIENT,2013,Mixed,2014,Shareholder Returns
ADANIENT,2014,Shareholder Returns,2015,Mixed
ADANIENT,2015,Mixed,2016,Shareholder Returns
ADANIENT,2016,Shareholder Returns,2017,Mixed
ADANIENT,2018,Mixed,2019,Liquidating Assets
ADANIENT,2019,Liquidating Assets,2020,Shareholder Returns
ADANIENT,2020,Shareholder Returns,2021,Mixed
ADANIENT,2022,Mixed,2023,Shareholder Returns
ADANIENT,2023,Shareholder Returns,2024,Mixed
ADANIGREEN,2022,Mixed,2023,Shareholder Returns
ADANIGREEN,2023,Shareholder Returns,2024,Mixed
ADANIPORTS,2014,Mixed,2015,Shareholder Returns
ADANIPORTS,2015,Shareholder Returns,2016,Mixed
ADANIPORTS,2016,Mixed,2017,Shareholder Returns
ADANIPORTS,2018,Shareholder Returns,2019,Mixed
ADANIPORTS,2019,Mixed,2020,Shareholder Returns
ADANIPORTS,2020,Shareholder Returns,2021,Mixed
ADANIPORTS,2021,Mixed,2022,Shareholder Returns
ADANIPOWER,2014,Mixed,2015,Reinvestor
ADANIPOWER,2015,Reinvestor,2016,Shareholder Returns
ADANIPOWER,2016,Shareholder Returns,2017,Reinvestor
ADANIPOWER,2020,Reinvestor,2021,Shareholder Returns
ADANIPOWER,2021,Shareholder Returns,2022,Liquidating Assets
AMBUJACEM,2012,Shareholder Returns,2013,Reinvestor
AMBUJACEM,2013,Reinvestor,2014,Shareholder Returns
AMBUJACEM,2017,Shareholder Returns,2018,Reinvestor
AMBUJACEM,2018,Reinvestor,2019,Shareholder Returns
AMBUJACEM,2021,Shareholder Returns,2023,Mixed
APOLLOHOSP,2013,Mixed,2014,Shareholder Returns
APOLLOHOSP,2014,Shareholder Returns,2015,Mixed
APOLLOHOSP,2017,Mixed,2018,Shareholder Returns
ASIANPAINT,2014,Shareholder Returns,2015,Reinvestor
ASIANPAINT,2015,Reinvestor,2016,Shareholder Returns
ASIANPAINT,2016,Shareholder Returns,2017,Reinvestor
ASIANPAINT,2017,Reinvestor,2018,Shareholder Returns
ASIANPAINT,2021,Shareholder Returns,2022,Reinvestor
ASIANPAINT,2023,Reinvestor,2024,Shareholder Returns
ATGL,2018,Mixed,2019,Liquidating Assets
